*EXPERIMENT LIST

@# FILENAME EXT ENAME
 1 AUCB7001 PTX AUSTRALIA, 1970: SOLAR RADIATION INTENSI
 2 CPSR1302 PTX CIP 2013 3 CULTIVARS
 3 DIJY9001 PTX GROWTH DATA-DENMARK (EDLEFSEN, 1991)
 4 GUDK1707 PTX GENO AND PLANTING TIME (CALIBRATION, 201
 5 NYCU8001 PTX NEW YORK: MODEL VALIDATION, 1980(EWING)
 6 OSBO8801 PTX OREGON: HERMISTON COMMERCIAL DATA, 1988
 7 WABE0301 PTX NITROGEN FATE (ALVA ET AL., 2010)
 8 WAPA9202 PTX PATERSON, WASHINGTON - 1992
 9 WAPA9302 PTX PATERSON, WASHINGTON - 1993
10 WAPA9402 PTX PATERSON, WASHINGTON - 1994
11 WAPA9502 PTX PATERSON, WASHINGTON - 1995
