*DSSAT Cropping System Model Ver. 4.8.2.001 -develop-s    JUN 09, 2024; 23:45:04

 Unit  Filename
  501  OPCLR
   21  FILEIO
   14  BATCH 
   25  DSPRO
  502  LUNMFW
  503  SIMCDE
  122  WARNING.OUT
   22  DTACDE
  504  RUNLST
  118  OUTINFO
   11  FILEW
   95  OUTO
   39  OUTG
   40  OUTPN
  505  OUTS
   91  SEVAL
  506  FILECO2
   52  OUTWTH
  507  FILEF
   13  FILESS
  100  SCBAL
  508  SCBAL2
   44  SoilOrg.OUT
  106  SoilNoBal.OUT
  103  SoilNBalSum.OUT
   64  N2O.OUT   
   63  GHG.OUT   
  105  SoilNiBal.OUT
   43  SoilNi.OUT
   55  Mulch.OUT
  110  SWBAL
   48  OUTWAT
   47  OUTT
   32  OUTET
   10  FILEC
    8  FILEA
